response_id, response_time, question_id, response_text, user_id
8968a4bb-b00f-4417-82d2-6a80ce5fe0e2, 2025-01-23 21:32:48.188213, 53edce4c-3682-4b27-906b-371b9e0fd241, 5 - High, 61b457e8-5b25-4cf1-9283-3d89fe794743
188575fc-f96d-4310-ad8f-11dbfd7f8771, 2025-01-23 21:39:05.554406, 53edce4c-3682-4b27-906b-371b9e0fd241, 5 - High, 61b457e8-5b25-4cf1-9283-3d89fe794743
3efd2b7e-c55c-442f-8978-9d4283d0d555, 2025-01-23 21:39:41.317868, 53edce4c-3682-4b27-906b-371b9e0fd241, 5 - High, 61b457e8-5b25-4cf1-9283-3d89fe794743
d44b27fa-b514-4126-a9fb-160d280b9ccd, 2025-01-23 21:41:25.941958, a77a4304-3819-48bb-bbb6-8b4e4da4f3da, 5 - High, 2771f938-7c77-4cc1-8507-1266c389158a
11313bea-cd37-4472-8c2a-4ed934b50026, 2025-01-24 22:48:06.569180, 9cd5af94-bccf-464d-8544-6d38e1d2663f, 5 - High, bb7c75c5-7dd8-4228-8759-c55b314789d7
a96c9a92-d7bc-4c2f-906d-449eabcf7c3e, 2025-03-25 22:06:36.797384, 6f02a5ec-16ea-4680-82d2-ff8efcd3ab46, 5 - High, b3be2870-79b6-46aa-98fc-434a4c0f05e5
621cf57b-7c08-44ea-ab6f-88e56d7f50fb, 2025-03-25 22:07:02.494358, 6e38cdbc-5e1c-4d08-872b-29aaa731bfdb, 5 - High, 7326019d-d66d-499c-b779-7ecca355c260
7acb625a-263c-4bbb-8073-cb60cee6f76d, 2025-03-29 15:38:30.498374, 222b19b3-30b8-43c8-9d14-f227a82218cb, 5 - High, 465f0789-3017-478f-bcec-ffa9a31624d4
b310d67d-2b0a-4963-9b10-1c61957d3890, 2025-03-29 16:05:06.409005, 53edce4c-3682-4b27-906b-371b9e0fd241, 5 - High, 61b457e8-5b25-4cf1-9283-3d89fe794743
4599d356-01db-434d-9db3-7472d00116f3, 2025-03-29 16:08:03.754077, 8ad3dd8c-ca71-48cd-afd3-138ef8522a1f, 5 - High, 4b562f52-956e-4346-83b9-38bd823ab707
e8e97e28-444c-4e60-9fbf-8e0da37e2805, 2025-04-02 21:07:51.617318, a997efd3-ff6a-4382-81db-f24cc6912a40, 5 - High, 95e7a69f-7db7-4f09-8099-7495012efda8
81ba75b4-a495-4f1e-9d6d-52c1a21da218, 2025-04-02 21:20:02.042667, edfce8fb-978b-405a-98f6-b5ec2d5b619d, 5 - High, c30884bc-d565-4bc3-ba43-1e81237a6e18
5e8c3b4b-e5f1-408f-9ffa-e06e684c8bef, 2025-04-16 21:08:02.128303, 69357723-cae7-4682-bbb4-880ed8fa8122, 5 - High, ab352d95-6224-4350-a2d1-0af9acd423a7
